Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
VIIX,Credit Suisse AG,12.69,$13.27M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/viix,
VIIZ,Credit Suisse AG,13.48,$876200,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/viiz,
XIV,Credit Suisse AG,36.17,$832.95M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/xiv,
ZIV,Credit Suisse AG,42.71,$77.43M,na,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/ziv,
CREE,Cree Inc,27.48,$2.76B,1993,Technology,Semiconductors,http//www.nasdaq.com/symbol/cree,
CRESY,Cresud S.A.C.I.F. y A.,16.65,$824.18M,1997,Finance,Real Estate,http//www.nasdaq.com/symbol/cresy,
CRTO,Criteo S.A.,38.2,$2.43B,2013,Technology,Advertising,http//www.nasdaq.com/symbol/crto,
CROX,Crocs Inc,8.6,$631.97M,2006,Consumer Non-Durables,Shoe Manufacturing,http//www.nasdaq.com/symbol/crox,
CCRN,Cross Country Healthcare Inc,11.55,$380.97M,2001,Technology,Professional Services,http//www.nasdaq.com/symbol/ccrn,
XRDC,Crossroads Capital Inc,2.02,$19.49M,2011,na,na,http//www.nasdaq.com/symbol/xrdc,
CRDS,Crossroads Systems Inc,4.81,$294727.94,1999,Technology,Computer peripheral equipment,http//www.nasdaq.com/symbol/crds,
CRWS,Crown Crafts Inc,9.92,$99.15M,na,Basic Industries,Textiles,http//www.nasdaq.com/symbol/crws,
CYRX,CryoPort Inc,1.9111,$27.28M,na,Capital Goods,Containers/Packaging,http//www.nasdaq.com/symbol/cyrx,
CYRXW,CryoPort Inc,0.7101,na,na,Capital Goods,Containers/Packaging,http//www.nasdaq.com/symbol/cyrxw,
CSGS,CSG Systems International Inc,40.52,$1.31B,1996,Technology,EDP Services,http//www.nasdaq.com/symbol/csgs,
CCLP,CSI Compressco LP,9.64,$320.31M,2011,Energy,Oilfield Services/Equipment,http//www.nasdaq.com/symbol/cclp,
CSPI,CSP Inc.,8.57,$32.57M,1982,Technology,EDP Services,http//www.nasdaq.com/symbol/cspi,
CSWI,CSW Industrials Inc,32.29,$507.54M,na,Basic Industries,Home Furnishings,http//www.nasdaq.com/symbol/cswi,
CSX,CSX Corporation,27.97,$26.46B,na,Transportation,Railroads,http//www.nasdaq.com/symbol/csx,
CTIC,CTI BioPharma Corp.,0.35,$98.99M,1997,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/ctic,
CTIB,CTI Industries Corporation,6.5,$21.91M,1997,Basic Industries,Specialty Chemicals,http//www.nasdaq.com/symbol/ctib,
CTRP,Ctrip.com InternationalLtd,46.46,$21.47B,2003,Miscellaneous,Business Services,http//www.nasdaq.com/symbol/ctrp,
CUNB,CU Bancorp (CA),23.95,$423.23M,na,Finance,Major Banks,http//www.nasdaq.com/symbol/cunb,
