Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
PHF,Pacholder High Yield Fund Inc,7.2,$93.58M,na,na,na,http//www.nasdaq.com/symbol/phf,
PTN,Palatin Technologies Inc,0.524,$42.83M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/ptn,
PARR,Par Pacific Holdings Inc,13.52,$556.73M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/parr,
PZG,Paramount Gold Nevada Corp.,2.14,$18.23M,2015,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/pzg,
PRK,Park National Corporation,91.37,$1.4B,na,Finance,Major Banks,http//www.nasdaq.com/symbol/prk,
PED,Pedevco Corp.,0.255,$12.71M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/ped,
PFNX,Pfenex Inc.,9.77,$228.49M,2014,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/pfnx,
PIP,PharmAthene Inc,2.56,$167.92M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/pip,
HNW,Pioneer Diversified High Income Trust,16.3968,$136.63M,2007,na,na,http//www.nasdaq.com/symbol/hnw,
PLG,Platinum Group Metals Ltd.,3.3,$293.23M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/plg,
PLM,Polymet Mining Corp.,0.9367,$260.21M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/plm,
PW,Power REIT,7.18,$12.81M,na,Consumer Services,Real Estate Investment Trusts,http//www.nasdaq.com/symbol/pw,
PLX,Protalix BioTherapeutics Inc,0.6301,$62.89M,na,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/plx,
PVCT,Provectus Biopharmaceuticals Inc,0.2582,$54.95M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/pvct,
RLGT,Radiant Logistics Inc,3.16,$154.13M,na,Transportation,Oil Refining/Marketing,http//www.nasdaq.com/symbol/rlgt,
UTG,Reaves Utility Income Fund,30.97,$1.06B,2004,na,na,http//www.nasdaq.com/symbol/utg,
REED,Reeds Inc,2.67,$37.14M,na,Consumer Non-Durables,Beverages (Production/Distribution),http//www.nasdaq.com/symbol/reed,
RWC,RELM Wireless Corporation,5.78,$79.43M,na,Technology,Radio And Television Broadcasting And Communications Equipment,http//www.nasdaq.com/symbol/rwc,
RCG,RENN Fund Inc,1.23,$5.49M,na,na,na,http//www.nasdaq.com/symbol/rcg,
RVP,Retractable Technologies Inc,2.64,$78.28M,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/rvp,
RNN,Rexahn Pharmaceuticals Inc,0.2599,$55.44M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/rnn,
RIC,Richmont Mines Inc,10.18,$638.19M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/ric,
REI,Ring Energy Inc,9.98,$418.33M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/rei,
RIF,RMR Real Estate Income Fund,22.09,$169.02M,na,na,na,http//www.nasdaq.com/symbol/rif,
SGA,Saga Communications Inc,39.95,$234.12M,na,Consumer Services,Broadcasting,http//www.nasdaq.com/symbol/sga,
SSN,Samson Oil & Gas Limited,0.7289,$11.72M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/ssn,
SPP,Sanchez Production Partners LP,11.95,$51.14M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/spp,
SAND,Sandstorm Gold Ltd,6.54,$982.62M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/sand,
SEB,Seaboard Corporation,3145.01,$3.68B,1996,Finance,Investment Bankers/Brokers/Service,http//www.nasdaq.com/symbol/seb,
SENS,Senseonics Holdings Inc,3.96,$369.82M,na,Capital Goods,Industrial Machinery/Components,http//www.nasdaq.com/symbol/sens,
SVT,Servotronics Inc,11.34,$28.01M,na,Capital Goods,Industrial Machinery/Components,http//www.nasdaq.com/symbol/svt,
SIF,SIFCO Industries Inc,6.5456,$35.78M,na,Capital Goods,Aerospace,http//www.nasdaq.com/symbol/sif,
